,MATERIAL_DESCRIPTION,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,6A1176,BOX-22,9,https://www.ti.com/lit/ds/symlink/sn65als1176.pdf?ts=1751275929535&ref_url=https%253A%252F%252Fwww.google.com%252F,
,HEF40106BT ,BOX-23,13,https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf,
,75176,BOX-23,28,https://www.ti.com/lit/ds/symlink/sn75176a.pdf?ts=1751257740266&ref_url=https%253A%252F%252Fwww.google.com%252F,
,65A176,BOX-23,80,https://www.ti.com/lit/ds/symlink/sn65als176.pdf?ts=1751276003265&ref_url=https%253A%252F%252Fwww.google.com%252F,
,26L537AC,BOX-23,1,https://doc.chipmall.com/datasheet/rev_2503122336_intel-altera-p29c53ac_c28170610.pdf,
,74HC4538D,BOX-23,13,https://www.mouser.com/datasheet/2/408/74HC4538D_datasheet_en_20170124-1128572.pdf?srsltid=AfmBOopz82yi0Vyw_gBUc_kYmYfoXtOAkZs4Vqdi6ps3U1uh1ja-H8c0,
,ATMLH006,BOX-23,7,….,
,MC3403,BOX-23,20,https://www.ti.com/lit/ds/symlink/mc3303.pdf?ts=1751276090920&ref_url=https%253A%252F%252Fwww.google.com%252F,
,MAX485,BOX-23,10,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX1487-MAX491.pdf,8 SMD IC 1NK60 (8 PIN) 10 NOS.
,324,BOX-24,31,https://www.ti.com/lit/ds/symlink/lm324.pdf,
,9948,BOX-24,2,https://www.onsemi.com/download/data-sheet/pdf/nds9948-d.pdf,
,4013,BOX-24,25,https://www.ti.com/lit/ds/symlink/cd4013b.pdf?ts=1751265690305&ref_url=https%253A%252F%252Fwww.google.com%252F,
,357(OPTO COUPLER),BOX-24,21,https://global.sharp/products/device/lineup/data/pdf/datasheet/pc357n_e.pdf,
,HP3D6,BOX-24,39,https://www.onsemi.com/download/data-sheet/pdf/ncp1203-d.pdf,
,TLC274,BOX-24,20,https://www.ti.com/lit/ds/symlink/tlc279.pdf?ts=1751234291037&ref_url=https%253A%252F%252Fwww.google.fr%252F,
,NE555,BOX-24,10,https://www.ti.com/lit/ds/symlink/ne555.pdf,
,UC3845(8 PIN) ,BOX-25,12,https://www.ti.com/lit/gpn/uc3845,
,UC3845(14PIN),BOX-25,20,https://www.ti.com/lit/gpn/uc3845,
,9945,BOX-25,23,https://www.onsemi.com/download/data-sheet/pdf/nds9945-d.pdf,
