,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,5600?F/63V ,BOX 3,36,https://www.digikey.in/en/products/detail/epcos-tdk-electronics/B41605D8568M2/10716647,
,390?F/400V ,BOX 3,6,https://docs.rs-online.com/2c2c/A700000011150782.pdf,
,5600?F/80V ,BOX 3,10,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOoq6l_y8lrQECSINB4pwUvkjmMtdY5wH-VL5Nn7KqFd6nFpJDEww,
,1000?F/80V ,BOX 3,4,https://in.rsdelivers.com/product/rubycon/80zlh1000mefcce16x40/rubycon-1000%CE%BCf-aluminium-electrolytic-capacitor-dc/1728125,
,390?F/450V ,BOX 3,10,https://www.mouser.in/datasheet/2/293/e_lhx-3537029.pdf,
,330?F/450V ,BOX 3,4,https://www.rs-online.vn/p/capacitor-snap-in-series-ls-330uf-450v/,
,150?F/400V ,BOX 3,4,https://www.we-online.com/components/products/datasheet/860021383023.pdf,
,180?F/450V ,BOX 3,5,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*6dpye0*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,22?F/250V ,BOX 4,48,https://www.sunrom.com/download/876.pdf,
,1000?F/50V ,BOX 4,20,https://www.cde.com/resources/catalogs/ATB.pdf,
,1000?F/63V ,BOX 4,20,https://www.vishay.com/docs/28334/118aht.pdf,
,47?F/250V ,BOX 4,50,https://www.mouser.in/datasheet/2/447/KEM_A4008_ESG-3316600.pdf,
,100?F/450V ,BOX 4,6,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*c8dp2k*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,470?F/63V ,BOX 4,100,https://www.sunrom.com/download/876.pdf,
,470?F/50V ,BOX 4,100,https://www.sunrom.com/download/876.pdf,
,1000?F/63V ,BOX 4,25,https://www.vishay.com/docs/28334/118aht.pdf,
,100?F/250V ,BOX 4,10,https://www.mouser.in/datasheet/2/447/KEM_A4074_ESL-3316085.pdf,
,1000?F/63V ,BOX 4,10,https://www.vishay.com/docs/28334/118aht.pdf,
,470?F/50V ,BOX 4,50,https://www.sunrom.com/download/876.pdf,
,330?F/63V ,BOX 4,60,https://uk.rs-online.com/web/p/aluminium-capacitors/1701275,
,180?F/250V ,BOX 4,5,https://twen.rs-online.com/web/p/aluminium-capacitors/7529498?srsltid=AfmBOopwpRcvAqsMbq1nQumNmY7oFamJJH2KYdGK7am44yX4BEaohh7V,
