MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
HEF4025BG = HCF4025BG = CD4025BE,I1_3_7,26,https://www.ti.com/lit/ds/symlink/cd4001b-mil.pdf?ts=1751261207916&ref_url=https%253A%252F%252Fwww.google.com%252F
TA8631N,I1_4_1,1,https://www.digchip.net/datasheets/parts/datasheet/487/TA8631N-pdf.php
SI9910DJ,I1_4_1,3,https://www.vishay.com/docs/70009/si9910.pdf
TL082A,I1_4_1,18,https://www.ti.com/lit/ds/symlink/tl082a.pdf?ts=1751261306823&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTL082A
74LS74,I1_4_1,10,https://www.ti.com/lit/ds/symlink/sn54ls74a-sp.pdf?ts=1751186105551&ref_url=https%253A%252F%252Fwww.google.com%252F
ADG508,I1_4_1,9,https://www.analog.com/media/en/technical-documentation/data-sheets/adg508f_509f.pdf
HEF4013BP,I1_4_2,18,https://assets.nexperia.com/documents/data-sheet/HEF4013B.pdf
TOP244,I1_4_2,13,https://www.power.com/sites/default/files/documents/topswitch-gx_family_datasheet.pdf
ML4812CP,I1_4_2,4,https://images.100y.com.tw/pdf_file/ML4812CP.pdf
GD4019 = HCF4019BE,I1_4_3,38,https://www.alldatasheet.com/view.jsp?Searchword=HCF4019BES&q=HCF4019BE
HD74S10P,I1_4_3,1,https://cdn-reichelt.de/documents/datenblatt/A200/LS10_REN.pdf
SN74LS122 = SN74122,I1_4_4,33,https://www.ti.com/lit/ds/symlink/sn54123.pdf?ts=1751261467906&ref_url=https%253A%252F%252Fwww.google.com%252F
TL594,I1_4_4,20,https://www.ti.com/lit/ds/symlink/tl594.pdf?ts=1751199974627&ref_url=https%253A%252F%252Fwww.google.com%252F
HCF4069,I1_4_5,8,https://www.st.com/resource/en/datasheet/hcf4069u.pdf
CD4046,I1_4_5,10,https://www.ti.com/lit/ds/symlink/cd4046b.pdf?ts=1751210201127&ref_url=https%253A%252F%252Fwww.google.com%252F
OP400,I1_4_5,9,https://www.analog.com/media/en/technical-documentation/data-sheets/op400.pdf
5M0165,I1_4_5,5,https://www.sea12.go.th/ict/images/stories/datatec/5m0365.pdf
CD4066 = HCF4066,I1_4_6,21,https://www.ti.com/lit/ds/symlink/cd4066b.pdf
TC4426A/MIC4426,I1_4_6,3,https://ww1.microchip.com/downloads/en/DeviceDoc/20001423J.pdf
HCF4081 = CD4081VBE,I1_4_7,53,https://www.st.com/resource/en/datasheet/hcf4081.pdf
CD4025BE,I1_4_8,1,https://www.ti.com/lit/ds/symlink/cd4001b-mil.pdf?ts=1751261207916&ref_url=https%253A%252F%252Fwww.google.com%252F
HEF4051BP,I1_4_9,10,https://assets.nexperia.com/documents/data-sheet/HEF4051B.pdf
M4006,I1_5_1,10,https://www.charlesindustries.com/wp-content/uploads/2021/05/LTMA4-006-002.pdf
